1,"2012-12-04",799,4,55,1,3,false
2,"2012-12-03",11921,2,41,2,0,false
3,"2012-12-03",11921,21,41,0,2,false
4,"2012-12-03",11921,3,2,2,1,false
5,"2012-12-03",11921,41,2,1,2,false
6,"2012-12-03",11921,21,3,1,2,false
7,"2012-12-03",11924,1,8,2,1,true
8,"2012-12-03",11924,1,8,2,3,true
9,"2012-12-03",11924,8,19,3,2,true
10,"2012-12-03",11924,19,12,2,1,true
11,"2012-12-03",11924,1,8,3,1,true
12,"2012-12-03",11902,36,10,0,1,true
13,"2012-12-03",11902,3,10,0,1,true
14,"2012-12-03",11902,3,26,1,0,true
15,"2012-12-03",11902,3,52,1,0,true
16,"2012-12-03",11902,3,23,1,0,true
17,"2012-12-03",11902,3,50,1,0,true
18,"2012-12-02",3248,267,97,0,3,false
19,"2012-12-02",3248,590,267,0,2,false
20,"2012-12-02",3248,184,97,1,2,false
24,"2012-12-02",3248,152,590,1,2,false
25,"2012-12-02",1909,145,102,2,0,true
26,"2012-12-02",1909,5,187,2,0,true
27,"2012-12-02",3197,90,585,1,3,false
28,"2012-12-02",39,15,9,3,4,true
29,"2012-12-02",11902,17,10,1,0,true
30,"2012-12-02",11902,4,10,0,1,true
31,"2012-12-02",11902,21,10,0,1,true
32,"2012-12-02",11902,36,10,0,1,true
33,"2012-12-02",11902,3,89,1,0,true
34,"2012-12-02",11902,17,26,1,0,true
35,"2012-12-02",11902,4,23,0,1,true
36,"2012-12-02",11902,21,50,1,0,true
37,"2012-12-01",11924,18,12,0,2,true
38,"2012-12-01",11924,19,9,2,0,true
39,"2012-12-01",11924,9,61,2,0,true
40,"2012-12-01",11924,4,12,1,2,true
41,"2012-12-01",11924,2,12,1,2,true
42,"2012-12-01",11924,38,4,0,2,true
43,"2012-12-01",11924,61,59,2,1,true
44,"2012-12-01",11924,11,9,0,2,true
45,"2012-12-01",11924,18,8,0,2,true
46,"2012-12-01",11924,19,1,0,2,true
47,"2012-12-01",1909,187,102,2,1,true
48,"2012-12-01",1909,145,5,1,2,true
49,"2012-12-01",39,35,9,2,3,true
50,"2012-12-01",39,15,48,3,1,true
51,"2012-11-30",11924,51,12,0,2,true
52,"2012-11-30",11924,106,15,0,2,true
53,"2012-11-30",11924,23,4,1,2,true
54,"2012-11-30",11924,111,12,1,2,true
55,"2012-11-30",11924,4,15,2,1,true
56,"2012-11-30",11924,59,160,2,0,true
57,"2012-11-30",11924,9,129,2,0,true
58,"2012-11-30",11924,160,17,2,1,true
59,"2012-11-30",11924,142,59,1,2,true
60,"2012-11-30",11924,54,129,0,2,true
61,"2012-11-30",11924,6,9,1,2,true
62,"2012-11-30",11924,8,11,2,1,true
63,"2012-11-30",11924,61,18,0,2,true
64,"2012-11-30",11924,38,1,0,2,true
65,"2012-11-30",11924,111,8,0,2,true
66,"2012-11-30",11924,106,18,0,2,true
67,"2012-11-30",11924,142,38,0,2,true
68,"2012-11-30",11924,2,19,0,2,true
69,"2012-11-30",11924,12,138,2,1,true
70,"2012-11-30",11924,3,434,2,0,true
71,"2012-11-30",11924,15,10,2,1,true
72,"2012-11-30",11924,4,52,2,0,true
73,"2012-11-30",11924,48,17,1,2,true
74,"2012-11-30",11924,21,59,1,2,true
75,"2012-11-30",11924,35,129,1,2,true
76,"2012-11-30",11924,36,9,1,2,true
77,"2012-11-30",3371,115,95,2,3,false
78,"2012-11-30",3371,95,152,2,3,false
79,"2012-11-30",3371,152,115,1,3,false
80,"2012-11-30",1909,14,102,0,2,true
81,"2012-11-30",1909,156,187,0,2,true
82,"2012-11-30",1909,145,276,2,0,true
83,"2012-11-30",1909,341,5,1,2,true
84,"2012-11-30",1909,476,237,0,1,true
85,"2012-11-30",1909,14,442,1,0,true
86,"2012-11-30",1909,276,476,0,1,true
87,"2012-11-30",1909,14,261,1,0,true
88,"2012-11-30",1909,476,442,1,0,true
89,"2012-11-30",1909,14,237,1,0,true
90,"2012-11-30",1909,341,187,1,0,true
91,"2012-11-30",1909,53,182,1,0,true
92,"2012-11-30",1909,261,237,1,0,true
93,"2012-11-30",1909,276,442,1,0,true
94,"2012-11-30",1909,187,169,1,0,true
95,"2012-11-30",1909,182,910,1,0,true
96,"2012-11-30",1909,53,341,0,1,true
97,"2012-11-30",1909,276,237,0,1,true
